"Asutuse registrikood";"Asutuse nimi";"Avaldusel märgitud asutuse maakond";"Tegevusala";"Tegevusala (EMTAK 2)";"Tegevusala (EMTAK 2 kood)";"Hüvitise saajate arv";"Sh hüvitise saajad, kes saanud hüvitist ühe kuu eest";"Sh hüvitise saajad, kes saanud hüvitist kahe kuu eest";"Sh hüvitise saajad, kes saanud hüvitist kolme kuu eest";"Hüvitiste brutosumma EUR";"Hüvitiste kogukulu EUR"
10265350;"OSAÜHING RIENA GRUPP";"Harju maakond";"TÖÖTLEV TÖÖSTUS";"Toiduainete tootmine";10;"-";"-";"-";"-";1736;2322,76
10268436;"Osaühing Perenaine";"Ida-Viru maakond";"MAJUTUS JA TOITLUSTUS";"Toidu ja joogi serveerimine";56;"-";"-";"-";"-";1736;2322,76
10279049;"Osaühing ZERIS";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;"-";"-";"-";"-";1736;2322,76
10282784;"Osaühing Belta";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;"-";"-";"-";"-";1736;2322,76
10296378;"Osaühing ABC Kompuuter";"Saare maakond";"KUNST, MEELELAHUTUS JA VABA AEG";"Sporditegevus ning lõbustus- ja vaba aja tegevused";93;"-";"-";"-";"-";1736;2322,76
10296898;"Osaühing Abjak";"Viljandi maakond";"PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK";"Taime- ja loomakasvatus, jahindus ja neid teenindavad tegevusalad";1;"-";"-";"-";"-";1736;2322,76
10305315;"Osaühing Erateks Trading";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;"-";"-";"-";"-";1736;2322,76
10326613;"Osaühing Tähtreklaam";"Harju maakond";"KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS";"Reklaamindus ja turu-uuringud";73;"-";"-";"-";"-";1736;2322,76
10342859;"Osaühing Evka Kaubad";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;"-";"-";"-";"-";1736;2322,76
10356169;"OÜ Laurits";"Viljandi maakond";"TÖÖTLEV TÖÖSTUS";"Paberi ja pabertoodete tootmine";17;"-";"-";"-";"-";1736;2322,76
10356318;"Bemo OÜ";"Pärnu maakond";"EHITUS";"Hoonete ehitus";41;"-";"-";"-";"-";1736;2322,76
10370790;"Osaühing FAST-SERVICE";"Ida-Viru maakond";"TÖÖTLEV TÖÖSTUS";"Masinate ja seadmete remont ja paigaldus";33;"-";"-";"-";"-";1736;2322,76
10378685;"Evlik Osaühing";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Hulgikaubandus, v.a mootorsõidukid ja mootorrattad";46;"-";"-";"-";"-";1736;2322,76
10391527;"Osaühing TALIHAIL";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;"-";"-";"-";"-";1736;2322,76
10394715;"Glabor OÜ";"Harju maakond";"MAJUTUS JA TOITLUSTUS";"Toidu ja joogi serveerimine";56;"-";"-";"-";"-";1736;2322,76
10417830;"osaühing Srermet";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;"-";"-";"-";"-";1736;2322,76
10443951;"Osaühing Peetri Auto";"Pärnu maakond";"VEONDUS JA LAONDUS";"Maismaaveondus ja torutransport";49;"-";"-";"-";"-";1736;2322,76
10458088;"osaühing Orliin";"Harju maakond";"TÖÖTLEV TÖÖSTUS";"Muu tootmine";32;"-";"-";"-";"-";1736;2322,76
10466774;"osaühing Aroves";"Harju maakond";"KINNISVARAALANE TEGEVUS";"Kinnisvaraalane tegevus";68;"-";"-";"-";"-";1736;2322,76
10467503;"osaühing Pärnu Grupp";"Pärnu maakond";"KINNISVARAALANE TEGEVUS";"Kinnisvaraalane tegevus";68;"-";"-";"-";"-";1736;2322,76
10469092;"Hedro Balti Osaühing";"Pärnu maakond";"MAJUTUS JA TOITLUSTUS";"Majutus";55;"-";"-";"-";"-";1736;2322,76
10469873;"OÜ Kaks Pead";"Pärnu maakond";"KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS";"Juriidilised toimingud ja arvepidamine";69;"-";"-";"-";"-";1736;2322,76
10471315;"OSAÜHING ""MAARIO & KO""";"Tartu maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Mootorsõidukite ja mootorrataste hulgi- ja jaemüük ning remont";45;"-";"-";"-";"-";1736;2322,76
10481733;"Osaühing Merkest";"Harju maakond";"KINNISVARAALANE TEGEVUS";"Kinnisvaraalane tegevus";68;"-";"-";"-";"-";1736;2322,76
10499897;"osaühing Scaneks";"Harju maakond";"MUUD TEENINDAVAD TEGEVUSED";"Arvutite ning tarbeesemete ja kodutarvete parandus";95;"-";"-";"-";"-";1736;2322,76
10501231;"Osaühing TP Invest";"Harju maakond";"KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS";"Peakontorite tegevus; juhtimisalane nõustamine";70;"-";"-";"-";"-";1736;2322,76
10517916;"Osaühing RONAAL";"Ida-Viru maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;"-";"-";"-";"-";1736;2322,76
10529374;"osaühing Ruut & Triip";"Saare maakond";"TÖÖTLEV TÖÖSTUS";"Rõivatootmine";14;"-";"-";"-";"-";1736;2322,76
10540370;"Kasutatud Kodumasinad OÜ";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;"-";"-";"-";"-";1736;2322,76
10559292;"Osaühing Terminaator Music";"Harju maakond";"KUNST, MEELELAHUTUS JA VABA AEG";"Loome-, kunsti- ja meelelahutustegevus";90;"-";"-";"-";"-";1736;2322,76
10573798;"Osaühing BAULRIX";"Harju maakond";"HALDUS- JA ABITEGEVUSED";"Rentimine ja kasutusrent";77;"-";"-";"-";"-";1736;2322,76
10584315;"DERATON OÜ";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;"-";"-";"-";"-";1736;2322,76
10589703;"OSAÜHING LINKOBALT";"Harju maakond";"VEONDUS JA LAONDUS";"Laondus ja veondust abistavad tegevusalad";52;"-";"-";"-";"-";1736;2322,76
10610588;"Osaühing Kurva Kodu";"Lääne-Viru maakond";"MAJUTUS JA TOITLUSTUS";"Toidu ja joogi serveerimine";56;"-";"-";"-";"-";1736;2322,76
10612201;"OSAÜHING KARIPSO REISS";"Ida-Viru maakond";"HALDUS- JA ABITEGEVUSED";"Reisibüroode ja reisikorraldajate tegevus, reserveerimine ning sellega seotud tegevus";79;"-";"-";"-";"-";1736;2322,76
10627622;"osaühing LÄMMI";"Võru maakond";"EHITUS";"Eriehitustööd";43;"-";"-";"-";"-";1736;2322,76
10659295;"Prii TF OÜ";"Pärnu maakond";"HALDUS- JA ABITEGEVUSED";"Büroohaldus, büroode ja muu äritegevuse abitegevused";82;"-";"-";"-";"-";1736;2322,76
10664706;"OÜ Takso Üks";"Tartu maakond";"VEONDUS JA LAONDUS";"Maismaaveondus ja torutransport";49;"-";"-";"-";"-";1736;2322,76
10665002;"OÜ MEITRAM";"Tartu maakond";"MUUD TEENINDAVAD TEGEVUSED";"Muu teenindus";96;"-";"-";"-";"-";1736;2322,76
10708467;"Osaühing ELTIANO";"Harju maakond";"TÖÖTLEV TÖÖSTUS";"Toiduainete tootmine";10;"-";"-";"-";"-";1736;2322,76
10716107;"Star Trade OÜ";"Saare maakond";"KUNST, MEELELAHUTUS JA VABA AEG";"Sporditegevus ning lõbustus- ja vaba aja tegevused";93;"-";"-";"-";"-";1736;2322,76
10728464;"Alelux osaühing";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;"-";"-";"-";"-";1736;2322,76
10737440;"OÜ GPSB";"Tartu maakond";"INFO JA SIDE";"Programmeerimine, konsultatsioonid jms tegevused";62;"-";"-";"-";"-";1736;2322,76
10751823;"Osaühing Emilios";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Mootorsõidukite ja mootorrataste hulgi- ja jaemüük ning remont";45;"-";"-";"-";"-";1736;2322,76
10753516;"Osaühing Euroekspert";"Ida-Viru maakond";"KINNISVARAALANE TEGEVUS";"Kinnisvaraalane tegevus";68;"-";"-";"-";"-";1736;2322,76
10754958;"Osaühing SPUTNIK";"Harju maakond";"HALDUS- JA ABITEGEVUSED";"Reisibüroode ja reisikorraldajate tegevus, reserveerimine ning sellega seotud tegevus";79;"-";"-";"-";"-";1736;2322,76
10772318;"Osaühing OPTIPLUS";"Ida-Viru maakond";"TÖÖTLEV TÖÖSTUS";"Muu tootmine";32;"-";"-";"-";"-";1736;2322,76
10778137;"Osaühing Maritiines";"Harju maakond";"MUUD TEENINDAVAD TEGEVUSED";"Muu teenindus";96;"-";"-";"-";"-";1736;2322,76
10789023;"OSAÜHING Beneri";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;"-";"-";"-";"-";1736;2322,76
10797117;"Osaühing ELSELFO";"Ida-Viru maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;"-";"-";"-";"-";1736;2322,76
10820158;"DECOREST DISAIN OÜ";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;"-";"-";"-";"-";1736;2322,76
10829917;"Osaühing BALTIC MIDLINE";"Ida-Viru maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Hulgikaubandus, v.a mootorsõidukid ja mootorrattad";46;"-";"-";"-";"-";1736;2322,76
10830694;"Osaühing TINEKE";"Lääne-Viru maakond";"KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS";"Juriidilised toimingud ja arvepidamine";69;"-";"-";"-";"-";1736;2322,76
10840586;"OÜ KATO Trade";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Hulgikaubandus, v.a mootorsõidukid ja mootorrattad";46;"-";"-";"-";"-";1736;2322,76
10846258;"OSAÜHING KT Juveel";"Harju maakond";"MUUD TEENINDAVAD TEGEVUSED";"Arvutite ning tarbeesemete ja kodutarvete parandus";95;"-";"-";"-";"-";1736;2322,76
10852075;"Lõuna-Eesti Taksod OÜ";"Võru maakond";"VEONDUS JA LAONDUS";"Maismaaveondus ja torutransport";49;"-";"-";"-";"-";1736;2322,76
10854654;"OÜ TEHNOSAN";"Ida-Viru maakond";"EHITUS";"Eriehitustööd";43;"-";"-";"-";"-";1736;2322,76
10861246;"TELLISKIVI JUUKSUR OÜ";"Harju maakond";"MUUD TEENINDAVAD TEGEVUSED";"Muu teenindus";96;"-";"-";"-";"-";1736;2322,76
10870305;"OSAÜHING HANSACONSTANT & PARTNERID";"Harju maakond";"MAJUTUS JA TOITLUSTUS";"Toidu ja joogi serveerimine";56;"-";"-";"-";"-";1736;2322,76
10870498;"Osaühing ANDERVES";"Harju maakond";"MUUD TEENINDAVAD TEGEVUSED";"Muu teenindus";96;"-";"-";"-";"-";1736;2322,76
10879967;"OSAÜHING CITYMODUM";"Harju maakond";"EHITUS";"Eriehitustööd";43;"-";"-";"-";"-";1736;2322,76
10890673;"Osaühing LIVE AGENCY GROUP";"Harju maakond";"KUNST, MEELELAHUTUS JA VABA AEG";"Loome-, kunsti- ja meelelahutustegevus";90;"-";"-";"-";"-";1736;2322,76
10895328;"Osaühing PÕHJAPÄRL";"Ida-Viru maakond";"KINNISVARAALANE TEGEVUS";"Kinnisvaraalane tegevus";68;"-";"-";"-";"-";1736;2322,76
10900638;"Garberi Osaühing";"Pärnu maakond";"PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK";"Metsamajandus ja metsavarumine";2;"-";"-";"-";"-";1736;2322,76
10928246;"OÜ KENGA";"Ida-Viru maakond";"MAJUTUS JA TOITLUSTUS";"Toidu ja joogi serveerimine";56;"-";"-";"-";"-";1736;2322,76
10941471;"Koopakass OÜ";"Harju maakond";"MAJUTUS JA TOITLUSTUS";"Toidu ja joogi serveerimine";56;"-";"-";"-";"-";1736;2322,76
10942588;"Rabatec OÜ";"Valga maakond";"TÖÖTLEV TÖÖSTUS";"Puidutöötlemine ning puit- ja korktoodete tootmine, v.a mööbel; õlest ja punumismaterjalist toodete tootmine";16;"-";"-";"-";"-";1736;2322,76
10945500;"OÜ ENVEKO EHITUS";"Tartu maakond";"EHITUS";"Eriehitustööd";43;"-";"-";"-";"-";1736;2322,76
10951535;"Silex.ee OÜ";"Harju maakond";"HALDUS- JA ABITEGEVUSED";"Büroohaldus, büroode ja muu äritegevuse abitegevused";82;"-";"-";"-";"-";1736;2322,76
10960959;"Osaühing Region Invest";"Lääne-Viru maakond";"KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS";"Arhitekti- ja inseneritegevused; teimimine ja analüüs";71;"-";"-";"-";"-";1736;2322,76
10965715;"Osaühing Dalibor";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;"-";"-";"-";"-";1736;2322,76
10980382;"Osaühing PRIVATARENDUS";"Võru maakond";"KINNISVARAALANE TEGEVUS";"Kinnisvaraalane tegevus";68;"-";"-";"-";"-";1736;2322,76
10998790;"Osaühing Caisiir";"Pärnu maakond";"MUUD TEENINDAVAD TEGEVUSED";"Muu teenindus";96;"-";"-";"-";"-";1736;2322,76
11001853;"OÜ MÄRKI TABAMA";"Ida-Viru maakond";"MUUD TEENINDAVAD TEGEVUSED";"Arvutite ning tarbeesemete ja kodutarvete parandus";95;"-";"-";"-";"-";1736;2322,76
11002309;"Osaühing EKSKURS";"Ida-Viru maakond";"HALDUS- JA ABITEGEVUSED";"Reisibüroode ja reisikorraldajate tegevus, reserveerimine ning sellega seotud tegevus";79;"-";"-";"-";"-";1736;2322,76
11006129;"Trendpoint OÜ";"Tartu maakond";"EHITUS";"Eriehitustööd";43;"-";"-";"-";"-";1736;2322,76
11016659;"OÜ JURITEX";"Jõgeva maakond";"TÖÖTLEV TÖÖSTUS";"Toiduainete tootmine";10;"-";"-";"-";"-";1736;2322,76
11019847;"OSAÜHING CORELLI MUSIC";"Harju maakond";"KUNST, MEELELAHUTUS JA VABA AEG";"Loome-, kunsti- ja meelelahutustegevus";90;"-";"-";"-";"-";1736;2322,76
11031535;"Osaühing Saare Diisel";"Saare maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Mootorsõidukite ja mootorrataste hulgi- ja jaemüük ning remont";45;"-";"-";"-";"-";1736;2322,76
11035987;"Osaühing OOLBERG ja KO";"Järva maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;"-";"-";"-";"-";1736;2322,76
11066858;"Arulepiku talu Osaühing";"Järva maakond";"KUNST, MEELELAHUTUS JA VABA AEG";"Sporditegevus ning lõbustus- ja vaba aja tegevused";93;"-";"-";"-";"-";1736;2322,76
11074421;"Fei Long OÜ";"Tartu maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;"-";"-";"-";"-";1736;2322,76
11103625;"OÜ KOLM KOLMNURKA";"Pärnu maakond";"MAJUTUS JA TOITLUSTUS";"Majutus";55;"-";"-";"-";"-";1736;2322,76
11112802;"Osaühing AQUABALTIC";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;"-";"-";"-";"-";1736;2322,76
11120084;"OÜ KORIANDER GRUPP";"Harju maakond";"KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS";"Reklaamindus ja turu-uuringud";73;"-";"-";"-";"-";1736;2322,76
11129961;"Osaühing Prestiiž";"Lääne-Viru maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;"-";"-";"-";"-";1736;2322,76
11130987;"OÜ Veste Trade";"Ida-Viru maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;"-";"-";"-";"-";1736;2322,76
11137802;"OÜ SANDAUTO";"Tartu maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Mootorsõidukite ja mootorrataste hulgi- ja jaemüük ning remont";45;"-";"-";"-";"-";1736;2322,76
11145753;"Osaühing NN Salong";"Harju maakond";"MUUD TEENINDAVAD TEGEVUSED";"Muu teenindus";96;"-";"-";"-";"-";1736;2322,76
11147091;"Ab Intra OÜ";"Harju maakond";"KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS";"Muu kutse-, teadus- ja tehnikaalane tegevus";74;"-";"-";"-";"-";1736;2322,76
11161516;"OÜ Kotlander Trade";"Harju maakond";"MUUD TEENINDAVAD TEGEVUSED";"Muu teenindus";96;"-";"-";"-";"-";1736;2322,76
11164963;"2PEA OÜ";"Harju maakond";"KUNST, MEELELAHUTUS JA VABA AEG";"Loome-, kunsti- ja meelelahutustegevus";90;"-";"-";"-";"-";1736;2322,76
11168470;"Osaühing SAARCAR";"Saare maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Mootorsõidukite ja mootorrataste hulgi- ja jaemüük ning remont";45;"-";"-";"-";"-";1736;2322,76
11180608;"Novacleaner OÜ";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Hulgikaubandus, v.a mootorsõidukid ja mootorrattad";46;"-";"-";"-";"-";1736;2322,76
11183050;"OSAÜHING MAVE ÄRI";"Harju maakond";"MUUD TEENINDAVAD TEGEVUSED";"Muu teenindus";96;"-";"-";"-";"-";1736;2322,76
11185296;"Osaühing Marengel";"Viljandi maakond";"MAJUTUS JA TOITLUSTUS";"Toidu ja joogi serveerimine";56;"-";"-";"-";"-";1736;2322,76
11185385;"osaühing VOLMERT";"Pärnu maakond";"EHITUS";"Hoonete ehitus";41;"-";"-";"-";"-";1736;2322,76
11186172;"osaühing Karjapoiss";"Viljandi maakond";"PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK";"Taime- ja loomakasvatus, jahindus ja neid teenindavad tegevusalad";1;"-";"-";"-";"-";1736;2322,76
11189911;"Osaühing Peeter-Trans";"Ida-Viru maakond";"VEONDUS JA LAONDUS";"Maismaaveondus ja torutransport";49;"-";"-";"-";"-";1736;2322,76
11201479;"Astikom OÜ";"Tartu maakond";"MAJUTUS JA TOITLUSTUS";"Toidu ja joogi serveerimine";56;"-";"-";"-";"-";1736;2322,76
11204875;"KUTO Tootmine OÜ";"Tartu maakond";"PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK";"Taime- ja loomakasvatus, jahindus ja neid teenindavad tegevusalad";1;"-";"-";"-";"-";1736;2322,76
11212202;"osaühing TA.AM";"Harju maakond";"MUUD TEENINDAVAD TEGEVUSED";"Muu teenindus";96;"-";"-";"-";"-";1736;2322,76
11212981;"TMS Ehitus OÜ";"Harju maakond";"EHITUS";"Hoonete ehitus";41;"-";"-";"-";"-";1736;2322,76
11216855;"Osaühing SML Grupp";"Pärnu maakond";"EHITUS";"Hoonete ehitus";41;"-";"-";"-";"-";1736;2322,76
11232854;"Filmer OÜ";"Võru maakond";"EHITUS";"Eriehitustööd";43;"-";"-";"-";"-";1736;2322,76
11233279;"ASTIK GRUPP OÜ";"Tartu maakond";"KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS";"Juriidilised toimingud ja arvepidamine";69;"-";"-";"-";"-";1736;2322,76
11234971;"GK Ehitus Osaühing";"Lääne-Viru maakond";"EHITUS";"Hoonete ehitus";41;"-";"-";"-";"-";1736;2322,76
11236013;"Osaühing MARIART";"Ida-Viru maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;"-";"-";"-";"-";1736;2322,76
11244461;"Osaühing BOILERIABI";"Harju maakond";"MUUD TEENINDAVAD TEGEVUSED";"Arvutite ning tarbeesemete ja kodutarvete parandus";95;"-";"-";"-";"-";1736;2322,76
11244797;"OÜ NAVITEKS GRUPP";"Harju maakond";"VEONDUS JA LAONDUS";"Maismaaveondus ja torutransport";49;"-";"-";"-";"-";1736;2322,76
11256636;"ArtFlore OÜ";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;"-";"-";"-";"-";1736;2322,76
11259706;"Telimer Grupp OÜ";"Saare maakond";"EHITUS";"Rajatiste ehitus";42;"-";"-";"-";"-";1736;2322,76
11262298;"OÜ AUDIODISAIN";"Tartu maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Hulgikaubandus, v.a mootorsõidukid ja mootorrattad";46;"-";"-";"-";"-";1736;2322,76
11262789;"UDUMÄE PUHKETALU OÜ";"Valga maakond";"VEONDUS JA LAONDUS";"Maismaaveondus ja torutransport";49;"-";"-";"-";"-";1736;2322,76
11278709;"Matkajuht OÜ";"Põlva maakond";"KUNST, MEELELAHUTUS JA VABA AEG";"Sporditegevus ning lõbustus- ja vaba aja tegevused";93;"-";"-";"-";"-";1736;2322,76
11289618;"OÜ Benedicion";"Tartu maakond";"MUUD TEENINDAVAD TEGEVUSED";"Muu teenindus";96;"-";"-";"-";"-";1736;2322,76
11317243;"OÜ Veovanker";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;"-";"-";"-";"-";1736;2322,76
11317562;"SANE OÜ";"Tartu maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Hulgikaubandus, v.a mootorsõidukid ja mootorrattad";46;"-";"-";"-";"-";1736;2322,76
11335531;"Osaühing Alfadel";"Ida-Viru maakond";"MUUD TEENINDAVAD TEGEVUSED";"Muu teenindus";96;"-";"-";"-";"-";1736;2322,76
11371277;"Osaühing Sakvoyage";"Harju maakond";"HALDUS- JA ABITEGEVUSED";"Reisibüroode ja reisikorraldajate tegevus, reserveerimine ning sellega seotud tegevus";79;"-";"-";"-";"-";1736;2322,76
11380626;"TARAGONA OÜ";"Ida-Viru maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Hulgikaubandus, v.a mootorsõidukid ja mootorrattad";46;"-";"-";"-";"-";1736;2322,76
11380916;"Osaühing ArtDrive";"Ida-Viru maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Hulgikaubandus, v.a mootorsõidukid ja mootorrattad";46;"-";"-";"-";"-";1736;2322,76
11385055;"Projektiteenus OÜ";"Harju maakond";"TÖÖTLEV TÖÖSTUS";"Puidutöötlemine ning puit- ja korktoodete tootmine, v.a mööbel; õlest ja punumismaterjalist toodete tootmine";16;"-";"-";"-";"-";1736;2322,76
11421130;"OÜ KOKKER";"Harju maakond";"MUUD TEENINDAVAD TEGEVUSED";"Muu teenindus";96;"-";"-";"-";"-";1736;2322,76
11435310;"Valeree Osaühing";"Ida-Viru maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;"-";"-";"-";"-";1736;2322,76
11436947;"OÜ Malakhat";"Ida-Viru maakond";"MAJUTUS JA TOITLUSTUS";"Toidu ja joogi serveerimine";56;"-";"-";"-";"-";1736;2322,76
11458311;"Koolisüsteemide OÜ";"Harju maakond";"INFO JA SIDE";"Programmeerimine, konsultatsioonid jms tegevused";62;"-";"-";"-";"-";1736;2322,76
11466434;"Pizzakoju OÜ";"Harju maakond";"MAJUTUS JA TOITLUSTUS";"Toidu ja joogi serveerimine";56;"-";"-";"-";"-";1736;2322,76
11468982;"Osaühing Metallimehed";"Lääne-Viru maakond";"EHITUS";"Eriehitustööd";43;"-";"-";"-";"-";1736;2322,76
11474818;"Kesalill OÜ";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;"-";"-";"-";"-";1736;2322,76
11487809;"Trimator OÜ";"Pärnu maakond";"KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS";"Juriidilised toimingud ja arvepidamine";69;"-";"-";"-";"-";1736;2322,76
11501142;"Kiddy Rides OÜ";"Harju maakond";"KUNST, MEELELAHUTUS JA VABA AEG";"Sporditegevus ning lõbustus- ja vaba aja tegevused";93;"-";"-";"-";"-";1736;2322,76
11511695;"OÜ PRUHA";"Harju maakond";"MAJUTUS JA TOITLUSTUS";"Toidu ja joogi serveerimine";56;"-";"-";"-";"-";1736;2322,76
11525421;"EstFinner OÜ";"Pärnu maakond";"EHITUS";"Hoonete ehitus";41;"-";"-";"-";"-";1736;2322,76
11527319;"OÜ Levana Grupp";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;"-";"-";"-";"-";1736;2322,76
11554983;"Osaühing Artifact";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;"-";"-";"-";"-";1736;2322,76
11562936;"osaühing Lunapolis";"Pärnu maakond";"KINNISVARAALANE TEGEVUS";"Kinnisvaraalane tegevus";68;"-";"-";"-";"-";1736;2322,76
