"Asutuse registrikood";"Asutuse nimi";"Avaldusel märgitud asutuse maakond";"Tegevusala";"Tegevusala (EMTAK 2)";"Tegevusala (EMTAK 2 kood)";"Hüvitise saajate arv";"Sh hüvitise saajad, kes saanud hüvitist ühe kuu eest";"Sh hüvitise saajad, kes saanud hüvitist kahe kuu eest";"Sh hüvitise saajad, kes saanud hüvitist kolme kuu eest";"Hüvitiste brutosumma EUR";"Hüvitiste kogukulu EUR"
11236415;"Aqva Hotels Osaühing";"Lääne-Viru maakond";"MAJUTUS JA TOITLUSTUS";"Majutus";55;132;15;17;100;214178,49;286570,67
10020297;"AS Eesti Leivatööstus";"Tartu maakond";"TÖÖTLEV TÖÖSTUS";"Toiduainete tootmine";10;155;5;150;0;212687,48;284575,76
10122514;"Aktsiaselts Hansa Bussiliinid";"Viljandi maakond";"VEONDUS JA LAONDUS";"Maismaaveondus ja torutransport";49;144;13;131;0;210574,47;281748,69
90008264;"Sihtasutus Eesti Draamateater";"Harju maakond";"KUNST, MEELELAHUTUS JA VABA AEG";"Loome-, kunsti- ja meelelahutustegevus";90;127;3;124;0;210497,5;281645,6
10591404;"Osaühing Fortuna Travel";"Harju maakond";"MAJUTUS JA TOITLUSTUS";"Majutus";55;104;14;16;74;206702,51;276567,9
10675118;"Osaühing BLRT Rekato";"Harju maakond";"TÖÖTLEV TÖÖSTUS";"Masinate ja seadmete remont ja paigaldus";33;94;12;15;67;203110,78;271762,22
10065408;"aktsiaselts Saarmas";"Harju maakond";"MUUD TEENINDAVAD TEGEVUSED";"Muu teenindus";96;115;8;27;80;201929,5;270181,63
10421903;"RAHVA RAAMAT Aktsiaselts";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;174;7;167;0;200298,87;267999,9
11046287;"Axinom Eesti OÜ";"Tartu maakond";"INFO JA SIDE";"Programmeerimine, konsultatsioonid jms tegevused";62;91;19;19;53;197684,02;264501,24
10634036;"Aktsiaselts SIROWA TALLINN";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Hulgikaubandus, v.a mootorsõidukid ja mootorrattad";46;127;12;115;0;195308,11;261322,21
90003491;"Sihtasutus Rakvere Teatrimaja";"Lääne-Viru maakond";"KUNST, MEELELAHUTUS JA VABA AEG";"Loome-, kunsti- ja meelelahutustegevus";90;84;0;1;83;195234,32;261223,5
10671126;"Aktsiaselts Printon";"Harju maakond";"TÖÖTLEV TÖÖSTUS";"Trükindus ja salvestiste paljundus";18;78;1;6;71;190411,67;254770,74
10144415;"Aktsiaselts BALTIKA";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Hulgikaubandus, v.a mootorsõidukid ja mootorrattad";46;98;11;31;56;187467,99;250832,11
12543906;"Jahelogistika OÜ";"Harju maakond";"VEONDUS JA LAONDUS";"Laondus ja veondust abistavad tegevusalad";52;97;6;29;62;187239,64;250526,55
11053554;"OÜ Kalevi Veekeskus";"Harju maakond";"MAJUTUS JA TOITLUSTUS";"Majutus";55;113;6;11;96;187078,39;250310,92
11073226;"KPG Kaubanduse OÜ";"Võru maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Jaekaubandus, v.a mootorsõidukid ja mootorrattad";47;195;124;71;0;186740,63;249858,93
11202149;"Gustav Cafe OÜ";"Tartu maakond";"TÖÖTLEV TÖÖSTUS";"Toiduainete tootmine";10;133;4;129;0;185289,17;247916,91
12486835;"Noorus OÜ";"Ida-Viru maakond";"MAJUTUS JA TOITLUSTUS";"Majutus";55;172;3;169;0;183048,98;244919,29
11707056;"OÜ Cristella VT";"Võru maakond";"TÖÖTLEV TÖÖSTUS";"Toiduainete tootmine";10;157;58;99;0;181916,24;243403,95
12673365;"Starship Technologies OÜ";"Harju maakond";"KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS";"Teadus- ja arendustegevus";72;114;31;83;0;180898,36;242041,98
10272337;"AS KROONPRESS";"Tartu maakond";"TÖÖTLEV TÖÖSTUS";"Trükindus ja salvestiste paljundus";18;131;67;64;0;180042,08;240896,32
10064863;"OÜ Anvol";"Harju maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Hulgikaubandus, v.a mootorsõidukid ja mootorrattad";46;121;2;119;0;179187,54;239752,91
11966450;"OÜ Vindor";"Rapla maakond";"TÖÖTLEV TÖÖSTUS";"Puidutöötlemine ning puit- ja korktoodete tootmine, v.a mööbel; õlest ja punumismaterjalist toodete tootmine";16;113;6;107;0;177962,42;238113,73
11496435;"Aktsiaselts Lasita Maja";"Tartu maakond";"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";"Hulgikaubandus, v.a mootorsõidukid ja mootorrattad";46;221;221;0;0;177684,76;237742,24
